Index;PartNumber;Material;ID_nom;OD_nom;Len;Weight;ID_pic;OD_pic
82;1000400065155;H-Pur | FDA;40.0;65.0;155;0.51;;
83;1000400070155;H-Pur | FDA;40.0;70.0;155;0.638;;
84;1000400074155;H-Pur | FDA;40.0;74.0;155;0.747;;
85;1000400079155;H-Pur | FDA;40.0;79.0;155;0.892;;
86;1000400084155;H-Pur | FDA;40.0;84.0;155;1.046;;
87;1000400087155;H-Pur | FDA;40.0;87.0;155;1.143;;
88;1000400090155;H-Pur | FDA;40.0;90.0;155;1.243;;
89;1000400094155;H-Pur | FDA;40.0;94.0;155;1.382;;
90;1000440062155;H-Pur | FDA;44.0;62.0;155;0.378;;
91;1000440065155;H-Pur | FDA;44.0;65.0;155;0.45;;
92;1000440070155;H-Pur | FDA;44.0;70.0;155;0.577;;
93;1000440074155;H-Pur | FDA;44.0;74.0;155;0.686;;
94;1000440079155;H-Pur | FDA;44.0;79.0;155;0.831;;
95;1000440084155;H-Pur | FDA;44.0;84.0;155;0.985;;
96;1000440087155;H-Pur | FDA;44.0;87.0;155;1.082;;
97;1000440090155;H-Pur | FDA;44.0;90.0;155;1.182;;
98;1000440094155;H-Pur | FDA;44.0;94.0;155;1.322;;
99;1000440103155;H-Pur | FDA;44.0;103.0;155;1.657;;
100;1000470065155;H-Pur | FDA;47.0;65.0;155;0.4;;
101;1000470070155;H-Pur | FDA;47.0;70.0;155;0.528;;
102;1000470072155;H-Pur | FDA;47.0;72.0;155;0.582;;
103;1000470076155;H-Pur | FDA;47.0;76.0;155;0.694;;
104;1000470079155;H-Pur | FDA;47.0;79.0;155;0.782;;
105;1000470084155;H-Pur | FDA;47.0;84.0;155;0.936;;
106;1000470087155;H-Pur | FDA;47.0;87.0;155;1.033;;
107;1000470090155;H-Pur | FDA;47.0;90.0;155;1.133;;
108;1000470094155;H-Pur | FDA;47.0;94.0;155;1.272;;
109;1000470103155;H-Pur | FDA;47.0;103.0;155;1.607;;
110;1000470110155;H-Pur | FDA;47.0;110.0;155;1.889;;
111;1000510070155;H-Pur | FDA;51.0;70.0;155;0.457;;
112;1000510074155;H-Pur | FDA;51.0;74.0;155;0.566;;
113;1000510079155;H-Pur | FDA;51.0;79.0;155;0.711;;
114;1000510084155;H-Pur | FDA;51.0;84.0;155;0.865;;
115;1000510087155;H-Pur | FDA;51.0;87.0;155;0.962;;
116;1000510090155;H-Pur | FDA;51.0;90.0;155;1.062;;
117;1000510094155;H-Pur | FDA;51.0;94.0;155;1.201;;
118;1000510103155;H-Pur | FDA;51.0;103.0;155;1.537;;
119;1000510110155;H-Pur | FDA;51.0;110.0;155;1.819;;
120;1000510118155;H-Pur | FDA;51.0;118.0;155;2.164;;
121;1000540074155;H-Pur | FDA;54.0;74.0;155;0.509;;
122;1000540079155;H-Pur | FDA;54.0;79.0;155;0.654;;
123;1000540084155;H-Pur | FDA;54.0;84.0;155;0.808;;
124;1000540087155;H-Pur | FDA;54.0;87.0;155;0.905;;
125;1000540090155;H-Pur | FDA;54.0;90.0;155;1.005;;
126;1000540094155;H-Pur | FDA;54.0;94.0;155;1.144;;
127;1000540103155;H-Pur | FDA;54.0;103.0;155;1.48;;
128;1000540110155;H-Pur | FDA;54.0;110.0;155;1.762;;
129;1000540118155;H-Pur | FDA;54.0;118.0;155;2.107;;
130;1000560076155;H-Pur | FDA;56.0;76.0;155;0.526;;
131;1000560079155;H-Pur | FDA;56.0;79.0;155;0.614;;
132;1000560082155;H-Pur | FDA;56.0;82.0;155;0.705;;
133;1000560087155;H-Pur | FDA;56.0;87.0;155;0.865;;
